Regional council,Territorial Authority 
Auckland Region,Auckland
Bay of Plenty Region,Kawerau District
Bay of Plenty Region,Opotiki District
Bay of Plenty Region,Rotorua District
Bay of Plenty Region,Tauranga City
Bay of Plenty Region,Western Bay of Plenty District
Bay of Plenty Region,Whakatane District
Canterbury Region,Ashburton District
Canterbury Region,Christchurch City
Canterbury Region,Hurunui District
Canterbury Region,Kaikoura District
Canterbury Region,Mackenzie District
Canterbury Region,Selwyn District
Canterbury Region,Timaru District
Canterbury Region,Waimakariri District
Canterbury Region,Waimate District
Gisborne Region,Gisborne District
Hawke's Bay Region,Central Hawke's Bay District
Hawke's Bay Region,Hastings District
Hawke's Bay Region,Napier City
Hawke's Bay Region,Wairoa District
Manawatu-Wanganui Region,Horowhenua District
Manawatu-Wanganui Region,Manawatu District
Manawatu-Wanganui Region,Palmerston North City
Manawatu-Wanganui Region,Rangitikei District
Manawatu-Wanganui Region,Ruapehu District
Manawatu-Wanganui Region,Tararua District
Manawatu-Wanganui Region,Whanganui District
Marlborough Region,Marlborough District
Nelson Region,Nelson City
Northland Region,Far North District
Northland Region,Kaipara District
Northland Region,Whangarei District
Not Applicable,Not Applicable
Otago Region,Central Otago District
Otago Region,Clutha District
Otago Region,Dunedin City
Otago Region,Queenstown-Lakes District
Otago Region,Waitaki District
Southland Region,Gore District
Southland Region,Invercargill City
Southland Region,Southland District
Taranaki Region,New Plymouth District
Taranaki Region,South Taranaki District
Taranaki Region,Stratford District
Tasman Region,Tasman District
Waikato Region,Hamilton City
Waikato Region,Hauraki District
Waikato Region,Matamata-Piako District
Waikato Region,Otorohanga District
Waikato Region,Rotorua District
Waikato Region,South Waikato District
Waikato Region,Taupo District
Waikato Region,Thames-Coromandel District
Waikato Region,Waikato District
Waikato Region,Waipa District
Waikato Region,Waitomo District
Wellington Region,Carterton District
Wellington Region,Kapiti Coast District
Wellington Region,Lower Hutt City
Wellington Region,Masterton District
Wellington Region,Porirua City
Wellington Region,South Wairarapa District
Wellington Region,Upper Hutt City
Wellington Region,Wellington City
West Coast Region,Buller District
West Coast Region,Grey District
West Coast Region,Westland District
